importsequencenumber,icsba_isinterdivisionapplicable,icsba_requestoption,icsba_requestoptiontitle,icsba_requestoptionscreenname,icsba_requestoptionslkpid,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,icsba_employeedivisiontypefk,owningbusinessunit,icsba_requestoptiontypefk
,FALSE,Div B Corporate - Secondment,Secondment,,8333a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24291511,eef6da24-7172-4d4c-8d6a-1bc44b9368b9,d64cd96b-0633-ee11-bdf4-6045bd404393,7835705e-96a8-ef11-b8e9-000d3ae0985b
,FALSE,Div A Corporate - Secondment,Secondment,,8133a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24291509,b9b1e324-4283-4510-b63a-8f2ad6fbf370,d64cd96b-0633-ee11-bdf4-6045bd404393,7835705e-96a8-ef11-b8e9-000d3ae0985b
,TRUE,Div B Operational - Request for Labour / New Member,Request for Labour / New Member,,c3754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291507,db08e797-5b10-4ec4-973b-87dabefd13ba,d64cd96b-0633-ee11-bdf4-6045bd404393,f735705e-96a8-ef11-b8e9-000d3ae0985b
,TRUE,Div A Operational - Request for Labour / New Member,Request for Labour / New Member,,c0754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291505,007bf3ba-55da-404e-8d2f-b823f0bfdc81,d64cd96b-0633-ee11-bdf4-6045bd404393,f735705e-96a8-ef11-b8e9-000d3ae0985b
,FALSE,Other/Unsure - New Member,Request for Labour / New Member,,8733a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24291504,79d20951-fa22-4ec0-9218-3058f19a6fdc,d64cd96b-0633-ee11-bdf4-6045bd404393,f735705e-96a8-ef11-b8e9-000d3ae0985b
,FALSE,CFA Secondment - New Member,Request for Labour / New Member,,8633a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24291502,b6d2ef91-8215-41ce-bf7b-33a685745982,d64cd96b-0633-ee11-bdf4-6045bd404393,f735705e-96a8-ef11-b8e9-000d3ae0985b
,FALSE,Div B Corporate - Request for Labour / New Member,Request for Labour / New Member,,8533a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24291501,eef6da24-7172-4d4c-8d6a-1bc44b9368b9,d64cd96b-0633-ee11-bdf4-6045bd404393,f735705e-96a8-ef11-b8e9-000d3ae0985b
,FALSE,Div A Corporate - Request for Labour / New Member,Request for Labour / New Member,,8233a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24291499,b9b1e324-4283-4510-b63a-8f2ad6fbf370,d64cd96b-0633-ee11-bdf4-6045bd404393,f735705e-96a8-ef11-b8e9-000d3ae0985b
,TRUE,Other/Unsure - RDO Deferral,RDO Deferral,,bc754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291497,79d20951-fa22-4ec0-9218-3058f19a6fdc,d64cd96b-0633-ee11-bdf4-6045bd404393,67ed6b77-97a8-ef11-b8e9-000d3ae0985b
,TRUE,Div A Corporate - RDO Deferral,RDO Deferral,,bb754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291495,b9b1e324-4283-4510-b63a-8f2ad6fbf370,d64cd96b-0633-ee11-bdf4-6045bd404393,67ed6b77-97a8-ef11-b8e9-000d3ae0985b
